Retailer,Address,Postal Code,City,State,Supplier,Brand Name,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Geocodio Stable Address Key
Top Dawg Tavern - Sville (CHS),9512 Dorchester Road,29485,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.937212,-80.141709,1,rooftop,9512 Dorchester Rd,"Summerville, SC 29485",9512,Dorchester Rd,,,Summerville,SC,Dorchester County,29485,US,Statewide SC,gcod_usn8h8gaawezstt3e53uhhl3jw549
Logan's Roadhouse (CHS),211 Azalea Square Boulevard,29483-7323,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,33.037268,-80.158793,1,rooftop,211 Azalea Square Blvd,"Summerville, SC 29483",211,Azalea Square Blvd,,,Summerville,SC,Berkeley County,29483,US,Berkeley,gcod_usny79auv9wyayhd2y2rsmwchn82a
Staybridge Suites - Mt P (CHS),251 Sessions Way,29464,Mount Pleasant,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.801555,-79.896869,1,rooftop,251 Sessions Way,"Mount Pleasant, SC 29464",251,Sessions Way,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usn39sbx8py5thu9eatgmx76t6kc5
Page's Okra Grill - Summerville (CHS),142 Brighton Park Boulevard,29464,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,33.042964,-80.140288,0.99,rooftop,142 Brighton Park Blvd,"Summerville, SC 29486",142,Brighton Park Blvd,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usnmelthsh8humh7eu39hcep7nqu5
Sundown Saloon (CHS),95 Mathews Drive,29926,Hilton Head Island,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.21104,-80.700752,1,rooftop,95 Mathews Dr,"Hilton Head Island, SC 29926",95,Mathews Dr,,,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort,gcod_usnnp5hl2mq29fvaut28rzm9uyup4
Katsubo Chicken & Ramen (CHS),4628 Spruill Avenue,29407,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.879329,-79.979953,0.99,rooftop,4628 Spruill Ave,"North Charleston, SC 29405",4628,Spruill Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usnnmyzuqn3225hhadnelm9s86swa
Mercantile & Mash (CHS),701 East Bay Street,29403,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.79762,-79.934842,1,rooftop,701 E Bay St,"Charleston, SC 29403",701,E Bay St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn9nhveyx42tdrbguqvnwsycpdud
Foolish Frog - St Helena (CHS),846 Sea Island Parkway,29920-3902,Saint Helena,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.396576,-80.578052,1,rooftop,846 Sea Island Pkwy,"Saint Helena Island, SC 29920",846,Sea Island Pkwy,,,Saint Helena Island,SC,Beaufort County,29920,US,Beaufort,gcod_usnnsy7fwercp7v7pxeewdbzu37fa
Coastal Marina (CHS),50 Immigration Street,29403,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.802006,-79.931929,1,rooftop,50 Immigration St,"Charleston, SC 29403",50,Immigration St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usndvwj249kpfl2dfawr6faqq5357
Roost - Avondale (CHS),825 Savannah Highway,29407,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.781888,-79.986209,1,rooftop,825 Savannah Hwy,"Charleston, SC 29407",825,Savannah Hwy,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usn84spdtwcpkaeb4lvaz5hvjsedb
Life of Luxe (CHS),1430 Central Avenue,29458,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,33.01504,-80.22767,0.63,street_center,Central Ave,"Summerville, SC 29483",,Central Ave,,,Sullivans Island,SC,Charleston County,29482,US,TIGER/Line® dataset from the US Census Bureau,gcod_uss7rzy2s9ps9h9g
Hilton Head National (CHS),60 Hilton Head National Drive,29910-6551,Bluffton,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.235495,-80.826546,1,rooftop,60 Hilton Head National Dr,"Bluffton, SC 29910",60,Hilton Head National Dr,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usnrz5krnkk6976h7pyjmw9x6t2kc
Moe's Crosstown Tavern - Rutledge (CHS),714 Rutledge Avenue,29403,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.802254,-79.952868,1,rooftop,714 Rutledge Ave,"Charleston, SC 29403",714,Rutledge Ave,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnx6uj7zngdtza84bucwbtr7m52c
Coots Bar And Grill (CHS),102 Palmetto Boulevard,29438,Edisto Island,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.502992,-80.296523,1,rooftop,102 Palmetto Blvd,"Edisto Island, SC 29438",102,Palmetto Blvd,,,Edisto Island,SC,Colleton County,29438,US,Statewide SC,gcod_usnqjwuqs8hsw2mcbkztspscd6j26
Tail Race Tavern (CHS),418 Barony Street,29461,Moncks Corner,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,33.199941,-79.990019,1,rooftop,418 Barony St,"Moncks Corner, SC 29461",418,Barony St,,,Moncks Corner,SC,Berkeley County,29461,US,Berkeley,gcod_usnsz9tdvgr4ltq52ra6qgs468vna
Tailgators Bar & Grill (CHS),1108 Argent Boulevard,29936,Ridgeland,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.313348,-80.962756,1,rooftop,1108 Argent Blvd,"Ridgeland, SC 29936",1108,Argent Blvd,,,Ridgeland,SC,Jasper County,29936,US,Jasper,gcod_usn5plqzszfqstucr79sjzrnsw9k8
CHS Sports Book - Nexton (CHS),600 Nexton Square Drive,29468,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,33.041657,-80.141114,0.99,rooftop,600 Nexton Square Dr,"Summerville, SC 29486",600,Nexton Square Dr,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usn7dfhxg3xh3uk2kegt6rsg4md7f
CHS Airport – Delaware (CHS),5500 International Boulevard,29418-6900,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.884199,-80.034632,1,rooftop,5500 International Blvd,"North Charleston, SC 29418",5500,International Blvd,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS,gcod_usnl87s96erxaavhkz2slylhk3jt5
CHS Airport – Club (CHS),5500 International Boulevard,29418-6900,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.884199,-80.034632,1,rooftop,5500 International Blvd,"North Charleston, SC 29418",5500,International Blvd,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS,gcod_usnl87s96erxaavhkz2slylhk3jt5
Callawassie Island Club (CHS),22 Callawassie Club Drive,29909,Okatie,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.327679,-80.852023,1,rooftop,22 Callawassie Club Dr,"Okatie, SC 29909",22,Callawassie Club Dr,,,Okatie,SC,Beaufort County,29909,US,Beaufort,gcod_usnrtzzdgz7j4ythjnqgnaad4dnqc
Shuckin Shack - Summerville (CHS),114 Central Avenue,29483,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,33.019152,-80.177414,1,rooftop,114 Central Ave,"Summerville, SC 29483",114,Central Ave,,,Summerville,SC,Dorchester County,29483,US,Charleston County GIS,gcod_usnlvt3btrpvd565g9lvwqn7ubt3f
Upstairs Ice House (CHS),104 East Doty Avenue,29483,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,33.019453,-80.174205,1,rooftop,104 E Doty Ave,"Summerville, SC 29483",104,E Doty Ave,,,Summerville,SC,Dorchester County,29483,US,Charleston County GIS,gcod_usnpq5ep8nlxvlz7fuyvd9ukqf5zc
Brodys Bar & Grill (CHS),47 Ferry Drive,29907-1640,Beaufort,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.411473,-80.65227,1,rooftop,47 Ferry Dr,"Beaufort, SC 29907",47,Ferry Dr,,,Beaufort,SC,Beaufort County,29907,US,Beaufort,gcod_usnnn5dnnpry9g92clwrad6rskcu8
Pub On 61 (CHS),2366 Ashley River Road,29414,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.824624,-80.037847,1,rooftop,2366 Ashley River Rd,"Charleston, SC 29414",2366,Ashley River Rd,,,Charleston,SC,Charleston County,29414,US,Charleston County GIS,gcod_usn7l5zh3aw5a9v66hq99rtqxdc55
Pearlz - East Bay (CHS),153 East Bay Street,29401,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.7782,-79.927202,1,rooftop,153 E Bay St,"Charleston, SC 29401",153,E Bay St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usncncrkar7hbeedrglpm57twufxa
Charleston Sports Pub-Goose Creek (CHS),539 Saint James Avenue,29445,Goose Creek,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,33.032739,-80.060825,1,rooftop,539 St James Ave,"Goose Creek, SC 29445",539,St James Ave,,,Goose Creek,SC,Berkeley County,29445,US,Berkeley,gcod_usnm8e8bdxlnglt82cwxbrjxwgvv5
Fuji Sushi - Belle Hall (CHS),644 Long Point Road,29464,Mount Pleasant,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.840319,-79.855679,1,rooftop,644 Long Point Rd,"Mount Pleasant, SC 29464",644,Long Point Rd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnq9vmw4t26q7eev8l25lhhdm5hg
Club House - Dataw (CHS),100 Dataw Club Road,29920,Saint Helena,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.432084,-80.581921,1,rooftop,100 Dataw Club Rd,"Saint Helena Island, SC 29920",100,Dataw Club Rd,,,Saint Helena Island,SC,Beaufort County,29920,US,Beaufort,gcod_usn5xqp5h6hmkf2gz6sfpvxu3b293
Doubletree Airport (CHS),7401 Northwoods Boulevard,29406,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.935947,-80.046973,1,rooftop,7401 Northwoods Blvd,"North Charleston, SC 29406",7401,Northwoods Blvd,,,North Charleston,SC,Charleston County,29406,US,Charleston County GIS,gcod_usnatrhcmmbxmpqaqbezqqbn9tfz5
Charleston Harbor Resort (CHS),28 Patriots Point Road,29464,Mount Pleasant,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.786765,-79.906491,1,rooftop,28 Patriots Point Rd,"Mount Pleasant, SC 29464",28,Patriots Point Rd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnnxr62b4pg664f4gwmv7vbvrpnb
Nantucket Market - Bluffton (CHS),1414 Fording Island Road,29910,Bluffton,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.240355,-80.817683,1,rooftop,1414 US-278,"Bluffton, SC 29910",1414,US-278,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usncty3nzmya4rz42w4bzj2fd7jz9
Mainland Container Co (CHS),1528 Ben Sawyer Boulevard,29464,Mount Pleasant,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.789353,-79.850885,1,rooftop,1528 Ben Sawyer Blvd,"Mount Pleasant, SC 29464",1528,Ben Sawyer Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usn4drgl74yfzesh4j37xbvnahbza
Swig & Swine - Moncks Corner (CHS),547 Reid Hill Road,29461,Moncks Corner,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,33.214219,-79.980744,1,rooftop,547 Reid Hill Rd,"Moncks Corner, SC 29461",547,Reid Hill Rd,,,Moncks Corner,SC,Berkeley County,29461,US,Statewide SC,gcod_usnhjaupghech3j2jnf83k87zkmjh
Red Palm Grill (CHS),45 Romney Street,29403,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Dance Naked,32.807826,-79.944844,1,rooftop,45 Romney St,"Charleston, SC 29403",45,Romney St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnvxw8qn76x6gld3gu5d8dq9t966
Swig & Swine - West Ashley (CHS),1217 Savannah Highway,29407,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.78379,-79.997843,1,rooftop,1217 Savannah Hwy,"Charleston, SC 29407",1217,Savannah Hwy,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usn84spdtwcpkaeb47gy9kqy97w65
Bonefish Grill - Tanger (CHS),5041 International Boulevard,29418,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.866358,-80.016193,1,rooftop,5041 International Blvd,"North Charleston, SC 29418",5041,International Blvd,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS,gcod_usnl87s96erxaavhful2vm38afa79
Dig In Park Circle (CHS),1049 East Montague Avenue,29405,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.881246,-79.975903,1,rooftop,1049 E Montague Ave,"North Charleston, SC 29405",1049,E Montague Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usnd57utpkg2zx45ktreqhepkuzkg
Latitude Margaritaville (CHS),3295 Latitude Boulevard,29927,Hardeeville,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.284586,-81.01182,1,rooftop,3295 Latitude Blvd,"Hardeeville, SC 29927",3295,Latitude Blvd,,,Hardeeville,SC,Jasper County,29927,US,Jasper,gcod_usnjayght2gfzdyh2nljpns5e2c59
Dinghy (CHS),8 J C Long Blvd,29451,Isle Of Palms,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.785383,-79.789906,1,rooftop,8 J C Long Blvd,"Isle of Palms, SC 29451",8,J C Long Blvd,,,Isle of Palms,SC,Charleston County,29451,US,Statewide SC,gcod_usn9c8f3rfd5r26cs4bp67m9zdb68
"Roxbury Mercantile, Llc (CHS)",4398 Highway 174,29449,Hollywood,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.675518,-80.347557,1,rooftop,4398 State Highway 174,"Hollywood, SC 29449",4398,State Highway 174,,,Hollywood,SC,Charleston County,29449,US,Statewide SC,gcod_usncukvpbkmy2k57bghxs6uqrlvp7
Triangle - Avondale (CHS),828 Savannah Highway,29407,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.782508,-79.986952,1,rooftop,828 Savannah Hwy,"Charleston, SC 29407",828,Savannah Hwy,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usn84spdtwcpkaebx99f3j8cynana
Gene's Haufbrau - Avondale (CHS),817 Savannah Highway,29407,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.781874,-79.985867,1,rooftop,817 Savannah Hwy,"Charleston, SC 29407",817,Savannah Hwy,,,Charleston,SC,Charleston County,29407,US,Charleston County GIS,gcod_usn84spdtwcpkaebwf3fnnx6mcctf
Indy Karting SC (CHS),71 Towne Drive,29910,Bluffton,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.269668,-80.860037,1,rooftop,71 Towne Dr,"Bluffton, SC 29910",71,Towne Dr,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usn9kwt3hjy5htq8smqtg84bb4xeb
Smugglers - IOP (CHS),1122 Ocean Boulevard,29451,Isle Of Palms,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.78514,-79.789024,1,rooftop,1122 Ocean Blvd,"Isle of Palms, SC 29451",1122,Ocean Blvd,,,Isle of Palms,SC,Charleston County,29451,US,Statewide SC,gcod_usn9wdmyvjg9m486luav9ece657bg
Big Billy's Burger Joint (CHS),5070 International Boulevard,29418-6006,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.868283,-80.016906,1,rooftop,5070 International Blvd,"North Charleston, SC 29418",5070,International Blvd,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS,gcod_usnl87s96erxaavhuahjdsrakw2a3
Southern Roots - West Ashley (CHS),2544 Savannah Highway,29414,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.793922,-80.055464,1,rooftop,2544 Savannah Hwy,"Charleston, SC 29414",2544,Savannah Hwy,,,Charleston,SC,Charleston County,29414,US,Statewide SC,gcod_usnewq83dry5bvz6tmp4ftwkb7e27
CHS Sports Book - Tanger (CHS),4950 Centre Pointe Drive,29418,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.875919,-80.021785,1,rooftop,4950 Centre Pointe Dr,"North Charleston, SC 29418",4950,Centre Pointe Dr,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS,gcod_usnlfqaank5hbd4adctaak4fhqjr4
Kingstide - DI (CHS),30 River Landing Drive,29492,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.855462,-79.903619,1,rooftop,30 River Landing Dr,"Daniel Island, SC 29492",30,River Landing Dr,,,Daniel Island,SC,Berkeley County,29492,US,Berkeley,gcod_usn6bw2wavd32852yegznwguv7ywa
Shelter (CHS),202 Coleman Boulevard,29464,Mount Pleasant,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.791666,-79.879112,1,rooftop,202 Coleman Blvd,"Mount Pleasant, SC 29464",202,Coleman Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnstsra729yz4t49fh6vbv6d5p85
MOMO Kitchen & Market (CHS),1049 Everglades Drive,29405,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.868615,-79.966097,1,rooftop,1049 Everglades Dr,"North Charleston, SC 29405",1049,Everglades Dr,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usnuuva8qlx66yh9z8s5lmz988gdh
River Course - Kiawah (CHS),10 River Course Lane,29455,Kiawah Island,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.61182,-80.099334,1,rooftop,10 River Course Ln,"Johns Island, SC 29455",10,River Course Ln,,,Johns Island,SC,Charleston County,29455,US,Statewide SC,gcod_usnf3k6ethev5j8euzmy7ryy8j378
Fuji Sushi - Nexton (CHS),501 Front Street,29486,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,33.041129,-80.142125,1,rooftop,501 Front St,"Summerville, SC 29486",501,Front St,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usnpub4sflydmxg5aa86qblxbquc7
Rodney Scotts BBQ (CHS),1011 King Street,29403,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.80343,-79.951308,1,rooftop,1011 King St,"Charleston, SC 29403",1011,King St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn2dwm2dywj3juazjhad5gtnpmfa
Southern Roots - Park Circle (CHS),1033 East Montague Avenue,29405,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.881296,-79.975201,1,rooftop,1033 E Montague Ave,"North Charleston, SC 29405",1033,E Montague Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usnd57utpkg2zx45ggbadx6jrlatb
Fratello's - Folly Rd (CHS),520 Folly Road,29412,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.753634,-79.970954,1,rooftop,520 Folly Rd,"Charleston, SC 29412",520,Folly Rd,,,Charleston,SC,Charleston County,29412,US,Charleston County GIS,gcod_usn8vewwym3yhyn4l7d2sdz6wx78b
Fratello's - Park Circle (CHS),1050 East Montague Avenue,29405,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.881783,-79.97581,1,rooftop,1050 E Montague Ave,"North Charleston, SC 29405",1050,E Montague Ave,,,North Charleston,SC,Charleston County,29405,US,Charleston County GIS,gcod_usnd57utpkg2zx45hy9x2nsn72fu4
Giuseppi's - Bluffton (CHS),25 Bluffton Road,29910-7619,Bluffton,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.256357,-80.853236,1,rooftop,25 Bluffton Rd,"Bluffton, SC 29910",25,Bluffton Rd,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usnlefkvejz5fy6br5eedawj7w8fd
John King Piano Bar (CHS),428 King Street,29403,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.78834,-79.937812,1,rooftop,428 King St,"Charleston, SC 29403",428,King St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usn2dwm2dywj3jua8ptfbrr4axae6
Rotolos (CHS),420 Cross Park Lane,29486,Summerville,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,33.061039,-80.150653,1,rooftop,420 Cross Park Ln,"Summerville, SC 29486",420,Cross Park Ln,,,Summerville,SC,Berkeley County,29486,US,Berkeley,gcod_usnjxpyd4takwbgdhle2pehvfkjq6
Chas Rifle Club (CHS),2221 Heriot Street,29403,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.8141,-79.957261,1,rooftop,2221 Heriot St,"Charleston, SC 29403",2221,Heriot St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnakatvlth2l766z32xehg2qyqvg
El Nuevo Grill-Bluffton (CHS),1008 Fording Island Road,29910-4879,Bluffton,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.256607,-80.852044,1,rooftop,1008 US-278,"Bluffton, SC 29910",1008,US-278,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usncty3nzmya4rz4nx9qrblpqbrh2
Moxy Charleston (CHS),547 Meeting Street,29403,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.799429,-79.942822,1,rooftop,547 Meeting St,"Charleston, SC 29403",547,Meeting St,,,Charleston,SC,Charleston County,29403,US,Charleston County GIS,gcod_usnjbtkxpk6sfw96u6n4z6hg4bc4e
Agaves Cantina-Daniel Island (CHS),885 Island Park Drive,29492,Daniel Island,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.862252,-79.906367,1,rooftop,885 Island Park Dr,"Daniel Island, SC 29492",885,Island Park Dr,,,Daniel Island,SC,Berkeley County,29492,US,Berkeley,gcod_usnfu34ru7esvzsebc3a4ldufbgd6
Millers All Day - King St (CHS),120 King Street,29401-3149,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.776684,-79.932678,1,rooftop,120 King St,"Charleston, SC 29401",120,King St,,,Charleston,SC,Charleston County,29401,US,Charleston County GIS,gcod_usnf5vftuxyvqdfcmu2wffk2mwzuf
Locals Only Taproom (CHS),144 Arrow Road,29928,Hilton Head Island,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.157767,-80.760591,1,rooftop,144 Arrow Rd,"Hilton Head Island, SC 29928",144,Arrow Rd,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usndef4rewg4v7v2xngpzlnmv3nm7
Mellow Mushroom-Bluffton (CHS),878 Fording Island Road,29910-8678,Bluffton,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.266011,-80.861058,1,rooftop,878 US-278,"Bluffton, SC 29910",878,US-278,,,Bluffton,SC,Beaufort County,29910,US,Beaufort,gcod_usncty3nzmya4rz4lmy58xxel9myh
Cedar Creek Tavern (CHS),2578 Ashley River Road,29414,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.834656,-80.045544,1,rooftop,2578 Ashley River Rd,"Charleston, SC 29414",2578,Ashley River Rd,,,Charleston,SC,Charleston County,29414,US,Statewide SC,gcod_usn7l5zh3aw5a9v6lxugfeu4df2qf
Madison's Market (CHS),925 10th Street,29935-2423,Port Royal,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.375892,-80.692022,1,rooftop,925 10th St,"Port Royal, SC 29935",925,10th St,,,Port Royal,SC,Beaufort County,29935,US,Beaufort,gcod_usnyf7ejybvvmdrc2pgeecylzndvb
Juanita Greenbergs (CHS),410 West Coleman Boulevard,29464,Mount Pleasant,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.796543,-79.885541,1,rooftop,410 W Coleman Blvd,"Mount Pleasant, SC 29464",410,W Coleman Blvd,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnubejnfdtdvcbc8p6mtln5mnldg
Whiskey Run Sports Bar (CHS),5060 Dorchester Road,29418,North Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.858461,-80.032939,1,rooftop,5060 Dorchester Rd,"North Charleston, SC 29418",5060,Dorchester Rd,,,North Charleston,SC,Charleston County,29418,US,Charleston County GIS,gcod_usnzuyc9ue35yh7dep2thr298tms6
Bahama Breeze #3064 (CHS),7811 Rivers Avenue,29406,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.94697,-80.042393,1,rooftop,7811 Rivers Ave,"North Charleston, SC 29406",7811,Rivers Ave,,,North Charleston,SC,Charleston County,29406,US,Charleston County GIS,gcod_usnqgh6w5rus53hawk8x7fqkvp7p5
Honky Tonk Burger Co (CHS),192 College Park Road,29456,Ladson,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.994827,-80.096612,1,rooftop,192 College Park Rd,"Ladson, SC 29456",192,College Park Rd,,,Ladson,SC,Berkeley County,29456,US,Berkeley,gcod_usnvxcubkzv5a9ncs7s5gumy2f94d
The Dime - Daniel Island (CHS),30 River Landing Drive,29492,Charleston,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.855462,-79.903619,1,rooftop,30 River Landing Dr,"Daniel Island, SC 29492",30,River Landing Dr,,,Daniel Island,SC,Berkeley County,29492,US,Berkeley,gcod_usn6bw2wavd32852yegznwguv7ywa
Hilton Garden-Mt P (CHS),300 Wingo Way,29464,Mount Pleasant,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.804402,-79.894883,1,rooftop,300 Wingo Way,"Mount Pleasant, SC 29464",300,Wingo Way,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usnuj8lp9p2ugutd7rjgjg5h8gy88
Top Dawg Tavern - HHI (CHS),13 Harbourside Lane,29928-3599,Hilton Head Island,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.18053,-80.728561,1,rooftop,13 Harbourside Ln,"Hilton Head Island, SC 29928",13,Harbourside Ln,,,Hilton Head Island,SC,Beaufort County,29928,US,Beaufort,gcod_usnp2et9n5j9mvdfelz26lefc5hde
Hometeam BBQ - North Mt Pleasant (CHS),3563 Highway 17 North,29466,Mount Pleasant,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.879588,-79.763647,1,range_interpolation,3563 Highway 17,"Mount Pleasant, SC 29466",3563,Highway 17,,,Mount Pleasant,SC,Charleston County,29466,US,TIGER/Line® from the US Census Bureau,gcod_usnddsg23a48cxlggfve5ejhna44a
Crave-Mt Pleasant (CHS),1968 Riviera Drive,29464,Mount Pleasant,SC,Rusty Bull Brewing Company,Rusty Bull Juice Juice,32.821933,-79.816527,1,rooftop,1968 Riviera Dr,"Mount Pleasant, SC 29464",1968,Riviera Dr,,,Mount Pleasant,SC,Charleston County,29464,US,Charleston County GIS,gcod_usn9k9nyzstxbqqdabrf765urcjb9
